AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Tualatin River Subbasin,USGS-14206425,"BRONSON CREEK AT 185TH AVE NR ALOHA, OR",45.53234,-122.8676,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206419,BRONSON CREEK AT SALTZMAN ROAD,45.55512,-122.8082,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-452109122531101,CHICKEN CREEK AT KRUGER RD,45.35252,-122.8864,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-452230122512201,"CHICKEN CREEK AT SCHOLLS-SHERWOOD HWY, SHERWOOD OR",45.37487,-122.8573,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206750,"CHICKEN CREEK NEAR SHERWOOD, OR",45.37484,-122.8565,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,DAIRY@HWY 8,DAIRY CREEK AT HWY 8,,,All other basin waters,6,8.5,,8,18,Salmon and Trout Rearing and Migration,No spawning,
Middle Deschutes,10506,Deschutes River at Hwy 26 (Warm Springs),44.76138,-121.2286,Deschutes - All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,October 15-June 15,
Middle Deschutes,USGS-14092500,"DESCHUTES RIVER NEAR MADRAS, OR",44.72595,-121.247,Deschutes - All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,October 15-June 15,
Middle Deschutes,36776,Trout Creek downstream of Mud Springs Creek,44.8013,-121.066,Deschutes - All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Wallowa,10410,Wallowa River at Minam,45.62082,-117.7197,Grande Ronde - All other basin waters,6.5,9,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,No spawning,
Wallowa,11457,Minam River at Minam,45.61966,-117.7279,Grande Ronde - All other basin waters,6.5,9,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,January 1-June 15,
Wallowa,35825,LITTLE MINAM R AT RM 1.3,45.38395,-117.6719,Grande Ronde - All other basin waters,6.5,9,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15,
Wallowa,USGS-13331500,"MINAM RIVER AT MINAM, OR",45.61987,-117.7266,Grande Ronde - All other basin waters,6.5,9,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,January 1-June 15,
Tualatin River Subbasin,USGS-453113123003501,"DAIRY CREEK AT HWY 8, HILLSBORO, OR",45.52023,-123.011,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206200,"DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR",45.5198,-123.0107,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14205850,DAIRY CREEK AT SUSBAUER ROAD,45.5387,-123.0418,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,DAIRY@SUSBAUER,DAIRY CREEK AT SUSBAUER ROAD,,,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10508,Deschutes River at Lower Bridge,44.35975,-121.2948,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10511,Deschutes River at Mirror Pond (Drake Park-Bend),44.06036,-121.3209,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10685,Deschutes River at Camp Abbot Bridge,43.89895,-121.4477,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10686,Deschutes River at Harper Bridge (Sunriver),43.86329,-121.452,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10687,"Deschutes River at Hwy 42 (Road 2114, South Century Drive)",43.81764,-121.4986,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10688,Deschutes River at Pringle Falls,43.74117,-121.6068,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10689,Deschutes River at Wickiup Reservoir Gauge Station,43.68613,-121.6873,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
